t-2,t-1,t,
0,-1,-1,D
1,-1,-1,D
-1,-1,-1,ras
2,-1,-1,ras
-1,0,-1,ras
0,0,-1,ras
1,0,-1,ras
2,0,-1,ras
-1,1,-1,ras
0,1,-1,ras
1,1,-1,ras
2,1,-1,ras
-1,2,-1,ras
0,2,-1,ras
1,2,-1,ras
2,2,-1,ras
-1,-1,0,ras
0,-1,0,ras
1,-1,0,ras
2,-1,0,ras
-1,0,0,ras
0,0,0,ras
1,0,0,ras
2,0,0,ras
-1,1,0,ras
0,1,0,ras
1,1,0,ras
2,1,0,ras
-1,2,0,ras
0,2,0,ras
1,2,0,ras
2,2,0,ras
-1,-1,1,A1
0,-1,1,A1
1,-1,1,ras
2,-1,1,ras
-1,0,1,A1
0,0,1,A1
1,0,1,A1
2,0,1,A1
-1,1,1,ras
0,1,1,ras
1,1,1,ras
2,1,1,ras
-1,2,1,ras
0,2,1,ras
1,2,1,ras
2,2,1,ras
-1,-1,2,A2
0,-1,2,A2
1,-1,2,A2
2,-1,2,ras
-1,0,2,A2
0,0,2,A2
1,0,2,A2
2,0,2,A2
-1,1,2,A2
0,1,2,A2
1,1,2,A2
2,1,2,A2
-1,2,2,ras
0,2,2,ras
1,2,2,ras
2,2,2,ras
