DA.time+dt<=t0.time;DA.seuil;t-1.seuil;t0.seuil;avertissement
False;n/a;0;0;False
False;n/a;0;-1;False
False;n/a;0;1;True
False;n/a;0;2;True
False;n/a;-1;0;False
False;n/a;-1;-1;True
False;n/a;-1;1;True
False;n/a;-1;2;True
False;n/a;1;0;False
False;n/a;1;-1;False
False;n/a;1;1;True
False;n/a;1;2;True
False;n/a;2;0;False
False;n/a;2;-1;False
False;n/a;2;1;True
False;n/a;2;2;True
True;-1;0;0;False
True;-1;0;-1;False
True;-1;0;1;True
True;-1;0;2;True
True;-1;-1;0;False
True;-1;-1;-1;False
True;-1;-1;1;True
True;-1;-1;2;True
True;1;0;0;False
True;1;0;-1;False
True;1;0;1;False
True;1;0;2;True
True;1;-1;0;False
True;1;-1;-1;True
True;1;-1;1;False
True;1;-1;2;True
True;1;1;0;False
True;1;1;-1;False
True;1;1;1;False
True;1;1;2;True
True;2;0;0;False
True;2;0;-1;False
True;2;0;1;False
True;2;0;2;False
True;2;-1;0;False
True;2;-1;-1;False
True;2;-1;1;False
True;2;-1;2;False
True;2;1;0;False
True;2;1;-1;False
True;2;1;1;False
True;2;1;2;False
True;2;2;0;False
True;2;2;-1;False
True;2;2;1;False
True;2;2;2;False
